센터,사업이름,사업내용,
천안시직장맘지원센터,직장맘 고충상담실,직장맘 고충상담실,
천안시직장맘지원센터,임신/출산/양육사업,임신/출산교실,
천안시직장맘지원센터,임신/출산/양육사업,문화교실,
천안시직장맘지원센터,일/가정 양립사업,직장맘(자녀) 집단프로그램,
천안시직장맘지원센터,일/가정 양립사업,주말/야간특강 프로그램,
천안시직장맘지원센터,홍보사업,직장맘 서포터즈 운영,
천안시건강가정지원센터,가족 교육사업,가족성장교실,가족 관계 향상
천안시건강가정지원센터,가족 교육사업,프랜대디,남성 대상 육아 교육
천안시건강가정지원센터,가족 교육사업,"찾아가는 남성교육, 가족프로글매",올바를 자녀양육법 제시
천안시건강가정지원센터,가족 문화사업,"가족과 함께하는 수요일 ""가족 사랑의 날""",
천안시건강가정지원센터,가족 문화사업,육아하는 아빠 사진전,
천안시건강가정지원센터,가족 문화사업,가정의 달 기념행사,
천안시건강가정지원센터,가족 문화사업,가족사랑 캠페인 및 정보제공,
천안시건강가정지원센터,가족 상담사업,가족상담,
천안시건강가정지원센터,가족 상담사업,개인상담,
천안시건강가정지원센터,가족 상담사업,이혼 전후상담,
천안시건강가정지원센터,가족 상담사업,집단상담,
천안시건강가정지원센터,가족돌봄 나눔사업,모두가족 봉사단,
천안시건강가정지원센터,가족돌봄 나눔사업,가족돌봄 프로그램,찾아가는 부모-자녀 놀이 활동 파견 프그램
천안시건강가정지원센터,자녀돌봄 품앗이 및 공동육아나눔터,자녀돌봄 품앗이,
천안시건강가정지원센터,자녀돌봄 품앗이 및 공동육아나눔터,공동육아나눔터,"자녀돌봄 장소 제공, 프로그램 운영"
천안시건강가정지원센터,가족희망드림 지원사업,학습정서지원,
천안시건강가정지원센터,가족희망드림 지원사업,생활도움지원,
천안시건강가정지원센터,가족희망드림 지원사업,긴급위기지원,
천안시건강가정지원센터,가족희망드림 지원사업,청소년부모 심리상담 및 법률지원,
천안시건강가정지원센터,가족희망드림 지원사업,교육문화 및 자조모임 프로그램 운영,
천안시건강가정지원센터,가족희망드림 지원사업,네트워크 연계 및 협력 등,
천안시육아종합지원센터,가족양육지원 사업,부모교육,
천안시육아종합지원센터,가족양육지원 사업,부모-자녀 참여 프로그램,
천안시육아종합지원센터,가족양육지원 사업,장난감 대여실 운영,
천안시육아종합지원센터,상담사업,발달검사,
천안시육아종합지원센터,상담사업,기질검사,
천안시육아종합지원센터,상담사업,부모검사,
천안시육아종합지원센터,상담사업,전문가 양육상담,
천안시육아종합지원센터,상담사업,찾아가는 전문가 양육코칭,
천안시다함께 돌봄센터 운영,돌봄프로그램,돌봄프로그램,
천안어린이 꿈누리터,체험시설,체험시설,
천안어린이 꿈누리터,상담사업,상담사업,
천안어린이 꿈누리터,도서열람,도서열람,
천안어린이 꿈누리터,체험프로그램,체험프로그램,
천안어린이 꿈누리터,소공연장,소공연장,
천안어린이 꿈누리터,대공연장,대공연장,